userName,label,test_id,Id,predict_value
123,posLen_tp_1_rand_c,0,489,0.16
123,posLen_tp_1_rand_c,0,123,0.93
123,posLen_tp_1_rand_c,0,801,0.79
123,posLen_tp_1_rand_c,0,695,0.66
123,posLen_tp_1_rand_c,0,945,0.98
123,posLen_tp_1_rand_c,1,935,0.44
123,posLen_tp_1_rand_c,1,596,0.15
123,posLen_tp_1_rand_c,1,415,0.6
123,posLen_tp_1_rand_c,1,356,0.71
123,posLen_tp_1_rand_c,1,723,0.07
123,posLen_tp_1_rand_c,2,583,0.19
123,posLen_tp_1_rand_c,2,380,0.86
123,posLen_tp_1_rand_c,2,729,0.98
123,posLen_tp_1_rand_c,2,726,0.32
123,posLen_tp_1_rand_c,2,968,0.9
123,posLen_tp_1_rand_c,3,719,0.64
123,posLen_tp_1_rand_c,3,248,0.67
123,posLen_tp_1_rand_c,3,19,0.68
123,posLen_tp_1_rand_c,3,113,0.75
123,posLen_tp_1_rand_c,3,119,0.23
123,posLen_tp_1_rand_c,4,826,0.68
123,posLen_tp_1_rand_c,4,291,0.88
123,posLen_tp_1_rand_c,4,561,0.8
123,posLen_tp_1_rand_c,4,835,0.66
123,posLen_tp_1_rand_c,4,653,0.87
123,posLen_tp_1_rand_c,5,88,0.72
123,posLen_tp_1_rand_c,5,562,0.7
123,posLen_tp_1_rand_c,5,784,0.14
123,posLen_tp_1_rand_c,5,235,0.36
123,posLen_tp_1_rand_c,5,732,0.4
123,posLen_tp_1_rand_c,6,88,0.73
123,posLen_tp_1_rand_c,6,562,0.71
123,posLen_tp_1_rand_c,6,784,0.15
123,posLen_tp_1_rand_c,6,235,0.37
123,posLen_tp_1_rand_c,6,732,0.41
123,posLen_tp_1_rand_c,7,88,0.8
123,posLen_tp_1_rand_c,7,562,0.78
123,posLen_tp_1_rand_c,7,784,0.22
123,posLen_tp_1_rand_c,7,235,0.44
123,posLen_tp_1_rand_c,7,732,0.48
123,posLen_tp_1_rand_c,8,88,0.76
123,posLen_tp_1_rand_c,8,562,0.74
123,posLen_tp_1_rand_c,8,784,0.18
123,posLen_tp_1_rand_c,8,235,0.4
123,posLen_tp_1_rand_c,8,732,0.44
